,grid,n_agents,n_hectares
336,grid_-41.5_173.6,82,3063
337,grid_-46.3_168.2,338,29885
338,grid_-40.9_174.8,1,12
339,grid_-45.3_168.4,5,1767
340,grid_-38.9_175.4,43,6277
341,grid_-44.9_169.6,13,5332
342,grid_-41.1_174.8,55,2010
343,grid_-41.1_175.8,66,14200
344,grid_-41.9_173.6,17,3189
345,grid_-41.7_173.0,15,530
346,grid_-39.1_177.2,122,8178
347,grid_-37.1_174.6,59,2543
348,grid_-39.7_174.8,18,1158
349,grid_-43.9_170.4,17,9635
350,grid_-45.5_170.8,38,3477
351,grid_-38.3_177.0,117,7034
352,grid_-45.9_168.6,169,31205
353,grid_-41.3_175.4,258,25338
354,grid_-42.3_172.0,5,208
355,grid_-37.9_176.2,433,13777
356,grid_-46.3_168.0,245,30281
357,grid_-41.3_174.6,47,2291
358,grid_-40.7_175.4,101,7032
359,grid_-37.9_175.2,399,22254
360,grid_-40.3_175.6,394,28722
361,grid_-45.5_169.6,15,12505
362,grid_-37.7_178.4,13,156
363,grid_-44.7_170.0,16,10460
364,grid_-46.3_168.6,150,22837
365,grid_-37.7_175.2,397,33633
366,grid_-45.5_169.2,49,12405
367,grid_-44.9_168.2,34,2854
368,grid_-43.1_172.4,72,15183
369,grid_-41.9_173.4,17,930
370,grid_-36.3_174.6,156,8919
371,grid_-38.5_175.6,58,15324
372,grid_-42.1_173.0,1,263
373,grid_-43.9_171.4,188,33895
374,grid_-43.5_171.8,164,18026
375,grid_-38.9_177.0,17,3453
376,grid_-37.7_177.6,4,37
377,grid_-44.7_170.6,39,21647
378,grid_-45.3_168.6,4,953
379,grid_-45.9_169.2,122,27457
380,grid_-44.3_170.6,63,14749
381,grid_-44.7_171.0,194,27433
382,grid_-40.3_176.6,88,20994
383,grid_-44.9_169.4,37,11732
384,grid_-46.7_168.8,119,20744
385,grid_-41.7_175.2,2,130
386,grid_-35.3_173.2,270,14562
387,grid_-46.5_168.4,343,27437
388,grid_-38.1_176.8,349,17273
389,grid_-42.3_173.2,1,69
390,grid_-46.1_168.4,93,17407
391,grid_-40.7_175.6,230,23260
392,grid_-46.1_168.8,250,27169
393,grid_-43.1_172.6,227,25292
394,grid_-44.9_170.4,91,16899
395,grid_-36.9_175.6,126,6961
396,grid_-42.7_172.2,3,1482
397,grid_-39.1_174.6,52,3911
398,grid_-40.5_175.2,298,23670
399,grid_-41.3_174.0,17,842
400,grid_-40.1_175.0,170,11196
401,grid_-39.5_175.0,17,759
402,grid_-41.5_174.0,36,1892
403,grid_-41.1_175.4,351,19443
404,grid_-38.1_174.8,119,11418
405,grid_-45.9_167.6,23,12814
406,grid_-45.9_169.8,24,19682
407,grid_-42.7_173.2,34,11592
408,grid_-44.3_171.2,312,28809
409,grid_-39.9_175.0,151,5665
410,grid_-46.3_169.0,104,24233
411,grid_-46.1_169.6,127,20734
412,grid_-38.7_176.6,9,1559
413,grid_-42.9_172.0,4,2169
414,grid_-45.5_168.2,2,235
415,grid_-38.3_176.8,110,4740
416,grid_-39.5_176.8,119,5963
417,grid_-38.5_178.2,75,10614
418,grid_-41.5_173.0,351,8797
419,grid_-43.1_172.0,4,3685
420,grid_-44.9_168.8,13,2074
421,grid_-35.5_173.6,207,18772
422,grid_-39.5_174.4,123,9169
423,grid_-41.5_175.6,13,1185
424,grid_-36.9_175.2,2,39
425,grid_-44.3_169.6,1,2
426,grid_-43.7_172.8,48,3310
427,grid_-41.1_173.8,19,196
428,grid_-45.7_168.4,52,14530
429,grid_-35.9_174.4,144,6692
430,grid_-44.1_171.6,308,31839
431,grid_-42.3_173.6,11,298
432,grid_-42.9_172.8,115,25549
433,grid_-43.5_170.8,2,224
434,grid_-43.5_172.2,273,27635
435,grid_-42.3_173.8,13,1284
436,grid_-42.9_172.4,51,9487
437,grid_-41.5_173.4,9,262
